error,anomaly
119.345314,False
115.86665,False
117.32137,False
115.130226,False
17.8138,False
14.155606,False
13.968948,False
9.000533,False
7.334613,False
7.596591,False
7.4105425,False
12.554157,False
7.4021807,False
8.512904,False
117.452675,False
117.69956,False
122.565,False
122.55122,False
122.493996,False
122.748085,False
121.34806,False
119.76768,False
120.236984,False
119.900795,False
9.651766,False
9.440783,False
4.314012,False
4.460536,False
7.9521155,False
8.7002,False
8.983632,False
5.049949,False
8.551099,False
10.059374,False
10.414869,False
10.8670635,False
14.399805,False
18.114626,False
15.256952,False
14.360026,False
17.853281,False
19.023087,False
15.713854,False
14.422381,False
14.050715,False
17.43806,False
14.713394,False
14.54806,False
15.104589,False
111.41587,False
216.56546,False
215.71646,False
215.30766,False
323.75302,False
324.0207,False
320.40082,False
321.25586,False
319.3523,False
415.12173,False
323.7767,False
214.1908,False
214.44328,False
216.17912,False
105.803696,False
145.7952,False
190.0571,False
232.72713,False
272.2378,False
214.96255,False
253.95834,False
297.07007,False
337.0171,False
376.62616,False
417.53473,False
417.58145,False
417.5744,False
417.52768,False
378.43457,False
348.48126,False
304.47406,False
308.7265,False
269.62646,False
278.02728,False
286.43225,False
294.86288,False
250.639,False
254.123,False
306.39822,False
348.92294,False
398.2018,False
397.43213,False
445.83575,True
407.41672,False
407.2804,False
415.59058,False
465.04688,True
426.69336,True
422.1861,True
426.8371,True
388.42664,False
397.5525,False
358.668,False
359.2512,False
315.8219,False
268.0521,False
229.16655,False
221.34091,False
174.5475,False
119.966774,False
120.53325,False
67.163086,False
62.04436,False
56.822094,False
52.95926,False
46.51641,False
37.83277,False
36.25072,False
34.8719,False
31.840979,False
158.59763,False
153.79388,False
149.26768,False
288.59622,False
289.421,False
334.09854,False
332.71997,False
337.70477,False
338.76944,False
339.88455,False
201.70645,False
205.48164,False
207.4688,False
61.957863,False
61.176636,False
13.454725,False
18.162579,False
13.958916,False
16.574274,False
112.64767,False
112.51548,False
108.86296,False
107.99898,False
111.094444,False
112.15127,False
110.7713,False
106.122604,False
105.61399,False
107.876144,False
13.852785,False
13.771663,False
122.69963,False
231.71297,False
231.54366,False
230.57259,False
230.60178,False
230.21513,False
232.08784,False
232.0291,False
228.3768,False
230.82297,False
122.62361,False
12.399354,False
9.45516,False
9.417931,False
9.5892935,False
10.047407,False
8.643011,False
3.5304618,False
8.570872,False
9.251745,False
8.226603,False
104.44298,False
103.46718,False
103.56692,False
103.59403,False
103.15849,False
199.21312,False
199.5726,False
290.6273,False
289.42816,False
290.7778,False
194.06479,False
194.44958,False
303.1824,False
306.88647,False
308.22223,False
319.77905,False
324.50003,False
227.41226,False
227.88159,False
231.4968,False
235.64539,False
236.52812,False
126.33264,False
127.59727,False
130.42508,False
129.11032,False
165.32968,False
209.09904,False
252.44254,False
288.84076,False
327.71396,False
371.86505,False
416.3043,False
455.55722,True
499.34772,True
433.93475,True
438.08163,True
433.9754,True
429.83487,True
433.98257,True
433.9826,True
433.9826,True
429.88257,True
429.88242,True
429.8815,True
429.87442,True
425.7277,True
434.13492,True
442.58246,True
398.48145,False
402.77533,False
368.6347,False
377.08243,False
381.38174,False
385.67618,False
389.94028,False
360.01648,False
359.8786,False
320.57748,False
331.55206,False
331.06625,False
370.03842,False
370.037,False
331.62634,False
293.1502,False
254.25272,False
249.64014,False
210.67978,False
210.76591,False
211.33652,False
211.32478,False
162.93828,False
118.86568,False
109.76311,False
100.144516,False
90.423225,False
181.76767,False
173.37643,False
168.341,False
267.6554,False
219.81189,False
220.96402,False
216.26949,False
220.24702,False
372.13016,False
421.32462,False
324.08023,False
323.1815,False
320.21164,False
210.02185,False
208.47583,False
303.6933,False
304.64203,False
306.02322,False
162.95009,False
209.57544,False
214.52225,False
310.245,False
309.2822,False
309.48544,False
315.61453,False
218.21353,False
219.14377,False
214.51685,False
314.26556,False
218.76176,False
216.3768,False
119.157936,False
120.70912,False
121.84419,False
116.73912,False
123.32985,False
125.34786,False
126.812515,False
16.627926,False
18.615322,False
18.532974,False
19.118341,False
17.55039,False
20.121517,False
20.829477,False
15.1846285,False
120.157455,False
123.70569,False
220.02377,False
312.41815,False
311.148,False
313.70435,False
314.8139,False
314.6569,False
314.497,False
314.95746,False
206.5461,False
209.00996,False
221.6053,False
124.24817,False
124.11949,False
120.79228,False
120.093666,False
116.31853,False
121.29366,False
121.47974,False
121.778015,False
117.985916,False
7.6484594,False
12.37378,False
16.010307,False
15.967572,False
16.003454,False
21.036547,False
64.188194,False
64.3058,False
63.468475,False
63.51014,False
64.0851,False
59.20866,False
55.518288,False
55.225727,False
57.098347,False
53.15777,False
5.326715,False
5.5438204,False
5.3736844,False
5.5095944,False
5.1622825,False
5.1650167,False
9.984812,False
10.01485,False
8.729422,False
8.392466,False
74.18061,False
79.15508,False
79.74626,False
83.15791,False
83.20885,False
83.442085,False
78.223854,False
81.92795,False
82.5005,False
84.50078,False
19.574472,False
16.140743,False
14.699246,False
